id,title,synopsis
28,Brazil,"low-level bureaucrat sam lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist harry tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies."
140,Young Adam,a young drifter working on a river barge disrupts his employers' lives while hiding the fact that he knows more about a dead woman found in the river than he admits.
162,The Silence of the Lambs,"clarice starling is a top student at the fbi's training academy. jack crawford wants clarice to interview dr. hannibal lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism. crawford believes that lecter may have insight into a case and that starling, as an attractive young woman, may be just the bait to draw him out."
190,Snow Cake,a drama focused on the friendship between a high-functioning autistic woman and a man who is traumatized after a fatal car accident.
216,Miller's Crossing,"set in 1929, a political boss and his advisor have a parting of the ways when they both fall for the same woman."
227,French Kiss,"after her fiancee admits to infidelity while on a business trip in france, a woman attempts to get her lover back and marry him by traveling to paris despite her crippling fear of flying.  on the way she unwittingly smuggles something of value that has a charming crook chasing her across france as she chases after her future husband."
308,Transamerica,bree is about to get a sex reassignment surgery that will finally allow her to actually be what she’s already been in her mind for a long time: a transitioned woman. yet before this happens she suddenly runs into her son who ends up coming for the trip across the united states.
318,Secret Beyond the Door,fritz lang’s psycho thriller tells the story of a woman who marries a stranger with a deadly hobby and through their love he attempts to fight off his obsessive-compulsive actions.
375,Sunrise: A Song of Two Humans,"a married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife."
379,THX 1138,people in the future live in a totalitarian society. a technician named thx 1138 lives a mundane life between work and taking a controlled consumption of drugs that the government uses to make puppets out of people. as thx is without drugs for the first time he has feelings for a woman and they start a secret relationship.
424,Our Hospitality,"a man returns to his appalachian homestead. on the trip, he falls for a young woman. the only problem is her family has vowed to kill every member of his family."
443,V for Vendetta,"in a world in which great britain has become a fascist state, a masked vigilante known only as “v” conducts guerrilla warfare against the oppressive british government. when v rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of britain."
444,Faces,"middle-aged suburban husband richard abruptly tells his wife, maria, that he wants a divorce. as richard takes up with a younger woman, maria enjoys a night on the town with her friends and meets a younger man. as the couple and those around them confront a seemingly futile search for what they've lost -- love, excitement, passion -- this classic american independent film explores themes of aging and alienation."
476,Lolita,"humbert humbert is a middle-aged british novelist who is both appalled by and attracted to the vulgarity of american culture. when he comes to stay at the boarding house run by charlotte haze, he soon becomes obsessed with lolita, the woman's teenaged daughter."
530,Sliver,a woman moves into an apartment in manhattan and learns that the previous tenant's life ended mysteriously after they fell from the balcony.
534,The Color Purple,"an epic tale spanning forty years in the life of celie, an african-american woman living in the south who survives incredible abuse and bigotry. after celie's abusive father marries her off to the equally debasing 'mister' albert johnson, things go from bad to worse, leaving celie to find companionship anywhere she can. she perseveres, holding on to her dream of one day being reunited with her sister in africa."
577,The Lady Vanishes,"on a train headed for england a group of travelers is delayed by an avalanche. holed up in a hotel in a fictional european country, young iris befriends elderly miss froy. when the train resumes, iris suffers a bout of unconsciousness and wakes to find the old woman has disappeared. the other passengers ominously deny miss froy ever existed, so iris begins to investigate with another traveler and, as the pair sleuth, romantic sparks fly."
582,Letter from an Unknown Woman,"a pianist about to flee from a duel receives a letter from a woman he cannot remember. as she tells the story of her lifelong love for him, he is forced to reinterpret his own past."
606,The Philadelphia Story,"when a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself."
621,Double Indemnity,"a rich woman and a calculating insurance agent plot to kill her unsuspecting husband after he signs a double indemnity policy. against a backdrop of distinctly californian settings, the partners in crime plan the perfect murder to collect the insurance, which pays double if the death is accidental."
622,Mulholland Drive,"blonde betty elms has only just arrived in hollywood to become a movie star when she meets an enigmatic brunette with amnesia. meanwhile, as the two set off to solve the second woman's identity, filmmaker adam kesher runs into ominous trouble while casting his latest project."
653,Breaking and Entering,"set in a blighted, inner-city neighbourhood of london, breaking and entering examines an affair which unfolds between a successful british landscape architect and amira, a bosnian woman – the mother of a troubled teen son – who was widowed by the war in bosnia and herzegovina."
673,Monster's Ball,"set in the southern usa, a racist white man, hank, falls in love with a black woman named leticia. ironically, hank is a prison guard working on death row who executed leticia's husband. hank and leticia's inter-racial affair leads to confusion and new ideas for the two unlikely lovers."
