id,title,synopsis
15,Jarhead,"jarhead is a film about a us marine anthony swofford’s experience in the gulf war. after putting up with an arduous boot camp, swofford and his unit are sent to the persian gulf where they are eager to fight, but are forced to stay back from the action. swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases."
17,Apocalypse Now,"at the height of the vietnam war, captain benjamin willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" his goal is to locate - and eliminate - a mysterious green beret colonel named walter kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory."
78,All Quiet on the Western Front,"a young soldier faces profound disillusionment in the soul-destroying horror of world war i. together with several other young german soldiers, he experiences the horrors of war, such evil of which he had not conceived of when signing up to fight. they eventually become sad, tormented, and confused of their purpose."
84,The Dark Knight,"batman raises the stakes in his war on crime. with the help of lt. jim gordon and district attorney harvey dent, batman sets out to dismantle the remaining criminal organizations that plague the streets. the partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of gotham as the joker."
97,Star Trek VI: The Undiscovered Country,"after years of war, the federation and the klingon empire find themselves on the brink of a peace summit when a klingon ship is nearly destroyed by an apparent attack from the enterprise. both worlds brace for what may be their dealiest encounter."
103,The Good German,an american journalist arrives in berlin just after the end of world war two. he becomes involved in a murder mystery surrounding a dead gi who washes up at a lakeside mansion during the potsdam negotiations between the allied powers. soon his investigation connects with his search for his married pre-war german lover.
107,Lucky Number Slevin,"slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. under constant watch, slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma. a film with many twists and turns."
127,Indiana Jones and the Kingdom of the Crystal Skull,"set during the cold war, the soviets—led by sword-wielding irina spalko—are in search of a crystal skull which has supernatural powers related to a mystical lost city of gold. indy is coerced to head to peru at the behest of a young man whose friend—and indy's colleague—professor oxley has been captured for his knowledge of the skull's whereabouts."
164,Underworld,"vampires and werewolves have waged a nocturnal war against each other for centuries. but all bets are off when a female vampire warrior named selene, who's famous for her strength and werewolf-hunting prowess, becomes smitten with a peace-loving male werewolf, michael, who wants to end the war."
185,Notorious,"in order to help bring nazis to justice, u.s. government agent t.r. devlin recruits alicia huberman, the american daughter of a convicted german war criminal, as a spy. as they begin to fall for one another, alicia is instructed to win the affections of alexander sebastian, a nazi hiding out in brazil. when sebastian becomes serious about his relationship with alicia, the stakes get higher, and devlin must watch her slip further undercover."
