id,title,synopsis
33,War of the Worlds,"ray ferrier is a divorced dockworker and less-than-perfect father. soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down."
36,Memento,"leonard shelby is tracking down the man who raped and murdered his wife. the difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. although he can recall details of life before his accident, leonard cannot remember what happened fifteen minutes ago, where he's going, or why."
39,Miami Vice,"a case involving drug lords and murder in south florida takes a personal turn for undercover detectives sonny crockett and ricardo tubbs. unorthodox crockett gets involved romantically with the chinese-cuban wife of a trafficker of arms and drugs, while tubbs deals with an assault on those he loves."
47,Anatomy of a Murder,"semi-retired michigan lawyer paul biegler takes the case of army lt. manion, who murdered a local innkeeper after his wife claimed that he raped her. over the course of an extensive trial, biegler parries with district attorney lodwick and out-of-town prosecutor claude dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret."
82,Lost in Translation,"two lost souls visiting tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a tv commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in america."
86,Ocean's Eleven,"less than 24 hours into his parole, charismatic thief danny ocean is already rolling out his next plan: in one night, danny's hand-picked crew of specialists will attempt to steal more than $150 million from three las vegas casinos. but to score the cash, danny risks his chances of reconciling with ex-wife, tess."
131,Rebecca,"story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, rebecca, who died mysteriously several years earlier. the young wife must come to grips with the terrible secret of her handsome, cold husband, max de winter. she must also deal with the jealous, obsessed mrs. danvers, the housekeeper, who will not accept her as the mistress of the house."
134,The Bride of Frankenstein,"bride of frankenstein begins where james whale's frankenstein from 1931 ended. dr. frankenstein has not been killed as previously portrayed and now he wants to get away from the mad experiments. yet when his wife is kidnapped by his creation, frankenstein agrees to help him create a new monster, this time a woman."
149,The Killing,"career criminal johnny clay recruits a sharpshooter, a crooked police officer, a bartender and a betting teller named george, among others, for one last job before he goes straight and gets married. but when george tells his restless wife about the scheme to steal millions from the racetrack where he works, she hatches a plot of her own."
158,Cat on a Hot Tin Roof,"an alcoholic ex-football player drinks his days away, having failed to come to terms with his sexuality and his real feelings for his football buddy who died after an ambiguous accident. his wife is crucified by her desperation to make him desire her: but he resists the affections of his wife. his reunion with his father—who is dying of cancer—jogs a host of memories and revelations for both father and son."
163,Fargo,"jerry, a small-town minnesota car salesman is bursting at the seams with debt... but he's got a plan. he's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. it's going to be a snap and nobody's going to get hurt... until people start dying. enter police chief marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. and if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!"
165,The Shawshank Redemption,"framed in the 1940s for the double murder of his wife and her lover, upstanding banker andy dufresne begins a new life at the shawshank prison, where he puts his accounting skills to work for an amoral warden. during his long stretch in prison, dufresne comes to be admired by the other inmates -- including an older prisoner named red -- for his integrity and unquenchable sense of hope."
208,A Crime,"vincent's life is on hold until he finds his wife's killer. alice, his neighbor, is convinced she can make him happy. she decides to invent a culprit, so that vincent can find revenge and leave the past behind. but there is no ideal culprit and no perfect crime."
210,Eyes Wide Shut,"after dr. bill harford's wife, alice, admits to having sexual fantasies about a man she met, bill becomes obsessed with having a sexual encounter. he discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head."
243,Vertigo,"a retired san francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her."
265,Drugstore Cowboy,"portland, oregon, 1971. bob hughes is the charismatic leader of a peculiar quartet, formed by his wife, dianne, and another couple, rick and nadine, who skillfully steal from drugstores and hospital medicine cabinets in order to appease their insatiable need for drugs. but neither fun nor luck last forever."
289,Dial M for Murder,"an ex-tennis pro carries out a plot to have his wife murdered after discovering she is having an affair, and assumes she will soon leave him for the other man anyway. when things go wrong, he improvises a new plan—to frame her for murder instead."
291,Casino,"in early-1970s las vegas, low-level mobster sam ""ace"" rothstein gets tapped by his bosses to head the tangiers casino. at first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer nicky santoro, his ex-hustler wife ginger, her con-artist ex lester diamond and a handful of corrupt politicians put sam in ever-increasing danger."
320,Die Hard,"nypd cop john mcclane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. with little help from the lapd, wisecracking mcclane sets out to single-handedly rescue the hostages and bring the bad guys down."
358,Poltergeist,"steve freeling lives with his wife, diane, and their three children, dana, robbie, and carol anne, in southern california where he sells houses for the company that built the neighborhood. it starts with just a few odd occurrences, such as broken dishes and furniture moving around by itself. however, when he realizes that something truly evil haunts his home, steve calls in a team of parapsychologists led by dr. lesh to help before it's too late."
389,Troy,"in year 1250 b.c. during the late bronze age, two emerging nations begin to clash. paris, the trojan prince, convinces helen, queen of sparta, to leave her husband menelaus, and sail with him back to troy. after menelaus finds out that his wife was taken by the trojans, he asks his brother agamemnom to help him get her back. agamemnon sees this as an opportunity for power. so they set off with 1,000 ships holding 50,000 greeks to troy. with the help of achilles, the greeks are able to fight the never before defeated trojans."
417,Meet the Fockers,"hard-to-crack ex-cia man, jack byrnes and his wife, dina head for the warmer climes of florida to meet son-in-law-to-be, greg focker's parents. unlike their happily matched offspring, the future in-laws find themselves in a situation of opposites that definitely do not attract."
418,The Shining,"jack torrance accepts a caretaker job at the overlook hotel, where he, along with his wife wendy and their son danny, must live isolated from the rest of the world for the winter. but they aren't prepared for the madness that lurks within."
431,Licence to Kill,"after capturing the notorious drug lord franz sanchez, bond's close friend and former cia agent felix leiter is left for dead and his wife is murdered. bond goes rogue and seeks vengeance on those responsible, as he infiltrates sanchez's organization from the inside."
472,The Omen,"immediately after their miscarriage, the us diplomat robert thorn adopts the newborn damien without the knowledge of his wife. yet what he doesn’t know is that their new son is the son of the devil."
508,The Assassination of Richard Nixon,"it’s 1974 and sam bicke has lost everything. his wife leaves him with his three kids, his boss fires him, his brother turns away from him, and the bank won’t give him any money to start anew. he tries to find someone to blame for his misfortunes and comes up with the president of the united states who he plans to murder."
519,Who Framed Roger Rabbit,"'toon star roger is worried that his wife jessica is playing pattycake with someone else, so the studio hires detective eddie valiant to snoop on her. but the stakes are quickly raised when marvin acme is found dead and roger is the prime suspect."
522,Dangerous Liaisons,"in 18th century france, marquise de merteuil asks her ex-lover vicomte de valmont to seduce the future wife of another ex-lover of hers in return for one last night with her. yet things don’t go as planned."
538,Hook,"the boy who wasn't supposed grow up—peter pan—does just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. during his trip to see granny wendy in london, the vengeful capt. hook kidnaps peter's kids and forces peter to return to neverland."
541,Crash,"after getting into a serious car accident, a tv director discovers an underground sub-culture of scarred, omnisexual car-crash victims who use car accidents and the raw sexual energy they produce to try to rejuvenate his sex life with his wife."
618,Sleuth,a mystery novelist devises an insurance scam with his wife’s lover – but things aren’t exactly as they seem.
619,Straw Dogs,"david sumner, a mild-mannered academic from the united states, marries amy, an englishwoman. in order to escape a hectic stateside lifestyle, david and his wife relocate to the small town in rural cornwall where amy was raised. there, david is ostracized by the brutish men of the village, including amy's old flame, charlie. eventually the taunts escalate, and two of the locals rape amy. this sexual assault awakes a shockingly violent side of david."
628,Arlington Road,threats from sinister foreign nationals aren't the only thing to fear. bedraggled college professor michael faraday has been vexed (and increasingly paranoid) since his wife's accidental death in a botched fbi operation. but all that takes a backseat when a seemingly all-american couple set up house next door.
697,Greed,"a lottery win of $5,000 forever changes the lives of a miner turned dentist and his wife."
733,Kingdom of Heaven,"after his wife dies, a blacksmith named balian is thrust into royalty, political intrigue and bloody holy wars during the crusades."
769,Secret Window,"mort rainey, a writer just emerging from a painful divorce with his ex-wife, is stalked at his remote lake house by a psychotic stranger and would-be scribe who claims rainey swiped his best story idea. but as rainey endeavors to prove his innocence, he begins to question his own sanity."
781,I ♥ Huckabees,"a husband-and-wife team play detective, but not in the traditional sense. instead, the happy duo helps others solve their existential issues, the kind that keep you up at night, wondering what it all means."
