id,title,synopsis
23,2001: A Space Odyssey,"humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of hal 9000, the world's most advanced super computer."
64,Charlie and the Chocolate Factory,"a young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker."
147,King Kong,"adventurous filmmaker, carl denham, sets out to produce a motion picture unlike anything the world has seen before. alongside his leading lady ann darrow and his first mate jack driscoll, they arrive on an island and discover a legendary creature said to be neither beast nor man. denham captures the monster to displayed on broadway as kong, the eighth wonder of the world."
153,Willy Wonka & the Chocolate Factory,eccentric candy man willy wonka prompts a worldwide frenzy when he announces that golden tickets hidden inside five of his delicious candy bars will admit their lucky holders into his top-secret confectionary. but does wonka have an agenda hidden amid a world of oompa loompas and chocolate rivers?
209,Harold and Maude,the young harold lives in his own world of suicide-attempts and funeral visits to avoid the misery of his current family and home environment. harold meets an 80-year-old woman named maude who also lives in her own world yet one in which she is having the time of her life. when the two opposites meet they realize that their differences don’t matter and they become best friends and love each other.
235,The English Patient,"in the 1930s, count almásy is a hungarian map maker employed by the royal geographical society to chart the vast expanses of the sahara desert along with several other prominent explorers. as world war ii unfolds, almásy enters into a world of love, betrayal, and politics."
271,Being John Malkovich,"one day at work, unsuccessful puppeteer craig finds a portal into the head of actor john malkovich. the portal soon becomes a passion for anybody who enters its mad and controlling world of overtaking another human body."
319,Constantine,"john constantine has literally been to hell and back. when he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary los angeles."
322,The Mummy,dashing legionnaire rick o'connell stumbles upon the hidden ruins of hamunaptra while in the midst of a battle to claim the area in 1920s egypt. it has been over three thousand years since former high priest imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.
330,To Die For,"suzanne stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. what she lacks in intelligence, she makes up for in cold determination and diabolical wiles. as she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary."
337,"Monsters, Inc.","james sullivan and mike wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. when a child accidentally enters their world, james and mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world."
367,The Ninth Gate,"an all-expenses-paid international search for a rare copy of the book, 'the nine gates of the kingdom  of shadows' brings an unscrupulous book dealer deep into a world of murder, double-dealing and satanic worship."
374,The Wizard of Oz,"young dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the wizard and ask for the things they miss most in their lives. the wicked witch of the west is the only thing that could stop them."
377,Bridget Jones's Diary,"a chaotic bridget jones meets a snobbish lawyer, and he soon enters her world of imperfections."
385,A.I. Artificial Intelligence,"david, a robotic boy—the first of his kind programmed to love—is adopted as a test case by a cybertronics employee and his wife. though he gradually becomes their child, a series of unexpected circumstances make this life impossible for david. without final acceptance by humans or machines, david embarks on a journey to discover where he truly belongs, uncovering a world in which the line between robot and machine is both vast and profoundly thin."
393,Goldfinger,"special agent 007 comes face to face with one of the most notorious villains of all time, and now he must outwit and outgun the powerful tycoon to prevent him from cashing in on a devious scheme to raid fort knox -- and obliterate the world's economy."
