id,title,synopsis
7,Citizen Kane,"newspaper magnate, charles foster kane is taken from his mother as a boy and made the ward of a rich industrialist. as a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event."
45,Beverly Hills Cop,"the heat is on in this fast paced action-comedy starring eddie murphy as axel foley, a street smart detroit cop tracking down his best friend's killer in beverly hills. axel quickly learns that his wild style doesn't fit in with the beverly hills police department, which assigns two officers (judge reinhold & john ashton) to make sure things don't get out of hand. dragging the stuffy detectives along for the ride, axel smashes through a huge culture clash in his hilarious, high-speed pursuit of justice. featuring cameos by paul reiser, bronson pinchot and damon wayans, beverly hills cop is an exhilarating, sidesplitting adventure."
50,Beverly Hills Cop II,"axel heads for the land of sunshine and palm trees to find out who shot police captain andrew bogomil. thanks to a couple of old friends, axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin—and the chase is on."
59,Scarface,"after getting a green card in exchange for assassinating a cuban government official, tony montana stakes a claim on the drug trade in miami. viciously murdering anyone who stands in his way, tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through miami. but increased pressure from the police, wars with colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall."
63,The Untouchables,"young treasury agent elliot ness arrives in chicago and is determined to take down al capone, but it's not going to be easy because capone has the police in his pocket. ness meets jimmy malone, a veteran patrolman and probably the most honorable one on the force. he asks malone to help him get capone, but malone warns him that if he goes after capone, he is going to war."
93,Predator 2,"ten years after a band of mercenaries first battled a vicious alien, the invisible creature from another world has returned to earth—and this time, it’s drawn to the gang-ruled and ravaged city of los angeles. when it starts murdering drug dealers, detective-lieutenant mike harrigan and his police force set out to capture the creature, ignoring warnings from a mysterious government agent to stay away."
125,Saw III,"jigsaw has disappeared. along with his new apprentice amanda, the puppet-master behind the cruel, intricate games that have terrified a community and baffled police has once again eluded capture and vanished. while city detective scramble to locate him, doctor lynn denlon and jeff reinhart are unaware that they are about to become the latest pawns on his vicious chessboard."
126,Saw II,"when a new murder victim is discovered with all the signs of jigsaw's hand, detective eric matthews begins a full investigation and apprehends jigsaw with little effort. but for jigsaw, getting caught is just another part of his plan. eight more of his victims are already fighting for their lives and now it's time for matthews to join the game."
151,The War of the Roses,"the roses, barbara and oliver, live happily as a married couple. then she starts to wonder what life would be like without oliver, and likes what she sees. both want to stay in the house, and so they begin a campaign to force each other to leave. in the middle of the fighting is d'amato, the divorce lawyer. he gets to see how far both will go to get rid of the other, and boy do they go far."
154,Live and Let Die,james bond must investigate a mysterious murder case of a british agent in new orleans. soon he finds himself up against a gangster boss named mr. big.
168,Strange Days,"set in the year 1999 during the last days of the old millennium, the movie tells the story of lenny nero, an ex-cop who now deals with data-discs containing recorded memories and emotions. one day he receives a disc which contains the memories of a murderer killing a prostitute. lenny investigates and is pulled deeper and deeper in a whirl of blackmail, murder and rape. will he survive and solve the case?"
220,Inside Man,"when an armed, masked gang enter a manhattan bank, lock the doors and take hostages, the detective assigned to effect their release enters negotiations preoccupied with corruption charges he is facing."
231,Basic Instinct,"a police detective is in charge of the investigation of a brutal murder, in which a beautiful and seductive woman could be involved."
266,Shaft,"new york police detective john shaft arrests walter wade jr. for a racially motivated slaying. but the only eyewitness disappears, and wade jumps bail for switzerland. two years later wade returns to face trial, confident his money and influence will get him acquitted -- especially since he's paid a drug kingpin to kill the witness."
267,Shaft,cool black private eye john shaft is hired by a crime lord to find and retrieve his kidnapped daughter.
270,Good Will Hunting,"will hunting has a genius-level iq but chooses to work as a janitor at mit. when he solves a difficult graduate-level math problem, his talents are discovered by professor gerald lambeau, who decides to help the misguided youth reach his potential. when will is arrested for attacking a police officer, professor lambeau makes a deal to get leniency for him if he will get treatment from therapist sean maguire."
272,Shaft's Big Score!,john shaft is back as the lady-loved black detective cop on the search for the murderer of a client.
273,Shaft in Africa,"detective john shaft travels incognito to ethiopia, then france, to bust a human trafficking ring."
276,Reservoir Dogs,"a botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. crime begets violence as the survivors -- veteran mr. white, newcomer mr. orange, psychopathic parolee mr. blonde, bickering weasel mr. pink and nice guy eddie -- unravel."
306,Blackmail,"london, 1929. frank webber, a very busy scotland yard detective, seems to be more interested in his work than in alice white, his girlfriend. feeling herself ignored, alice agrees to go out with an elegant and well-mannered artist who invites her to visit his fancy apartment."
307,There's Something About Mary,"for ted, prom night went about as bad as it’s possible for any night to go. thirteen years later, he finally gets another chance with his old prom date, only to run up against other suitors including the sleazy detective he hired to find her."
331,Jaws,"when an insatiable great white shark terrorizes the townspeople of amity island, the police chief, an oceanographer and a grizzled shark hunter seek to destroy the blood-thirsty beast."
332,Jaws 2,police chief brody must protect the citizens of amity after a second monstrous shark begins terrorizing the waters.
336,2 Fast 2 Furious,"it's a major double-cross when former police officer brian o'conner teams up with his ex-con buddy roman pearce to transport a shipment of ""dirty"" money for shady miami-based import-export dealer carter verone. but the guys are actually working with undercover agent monica fuentes to bring verone down."
371,Trainspotting,"heroin addict mark renton stumbles through bad ideas and sobriety attempts with his unreliable friends -- sick boy, begbie, spud and tommy. he also has an underage girlfriend, diane, along for the ride. after cleaning up and moving from edinburgh to london, mark finds he can't escape the life he left behind when begbie shows up at his front door on the lam, and a scheming sick boy follows."
378,Angel Heart,"down-and-out private detective harry angel is ordered by the mysterious louis cyphre to go on a mission to find a missing person. his routine failure soon leads to a bloody spar with himself, as he goes on a supernatural journey into his own soul."
395,Saw IV,"jigsaw and his apprentice amanda are dead. now, upon the news of detective kerry's murder, two seasoned fbi profilers, agent strahm and agent perez, arrive in the terrified community to assist the veteran detective hoffman in sifting through jigsaw's latest grisly remains and piecing together the puzzle. however, when swat commander rigg is abducted and thrust into a game, the last officer untouched by jigsaw has but ninety minutes to overcome a series of demented traps and save an old friend...or face the deadly consequences."
419,Short Cuts,"many loosely connected characters cross paths in this film, based on the stories of raymond carver. waitress doreen piggot accidentally runs into a boy with her car. soon after walking away, the child lapses into a coma. while at the hospital, the boy's grandfather tells his son, howard, about his past affairs. meanwhile, a baker starts harassing the family when they fail to pick up the boy's birthday cake."
