id,title,synopsis
54,Léon: The Professional,"léon, the top hit man in new york, has earned a rep as an effective ""cleaner"". but when his next-door neighbors are wiped out by a loose-cannon dea agent, he becomes the unwilling custodian of 12-year-old mathilda. before long, mathilda's thoughts turn to revenge, and she considers following in léon's footsteps."
55,Taxi Driver,"a mentally unstable vietnam war veteran works as a night-time taxi driver in new york city where the perceived decadence and sleaze feed his urge for violent action, attempting to save a preadolescent prostitute in the process."
89,Breakfast at Tiffany's,"holly golightly is an eccentric new york city playgirl determined to marry a brazilian millionaire. but when young writer paul varjak moves into her apartment building, her past threatens to get in their way."
130,Rebel Without a Cause,"after moving to a new town, troublemaking teen jim stark is supposed to have a clean slate, although being the new kid in town brings its own problems. while searching for some stability, stark forms a bond with a disturbed classmate, plato, and falls for local girl judy. however, judy is the girlfriend of neighborhood tough, buzz. when buzz violently confronts jim and challenges him to a drag race, the new kid's real troubles begin."
143,The Godfather: Part II,"in the continuing saga of the corleone crime family, a young vito corleone grows up in sicily and in 1910s new york. in the 1950s, michael corleone attempts to expand the family business into las vegas, hollywood and cuba."
145,The Godfather: Part III,"in the midst of trying to legitimize his business dealings in 1979 new york and italy, aging mafia don, michael corleone seeks forgiveness for his sins while taking a young protege under his wing."
150,Pocketful of Miracles,"boozy, brassy apple annie, a beggar with a basket of apples, is as much a part of downtown new york as old broadway itself. bootlegger dave the dude is a sucker for her apples -- he thinks they bring him luck. but dave and girlfriend queenie martin need a lot more than luck when it turns out that annie is in a jam and only they can help: annie's daughter louise, who has lived all her life in a spanish convent, is coming to america with a count and his son. the count's son wants to marry louise, who thinks her mother is part of new york society. it's up to dave and queenie and their cronies to turn annie into a lady and convince the count and his son that they are hobnobbing with new york's elite."
155,King Kong,"in 1933 new york, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island, where they encounter kong, a giant ape who is immediately smitten with the leading lady."
161,Batman Begins,"driven by tragedy, billionaire bruce wayne dedicates his life to uncovering and defeating the corruption that plagues his home, gotham city.  unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - the batman."
169,The Apartment,"bud baxter is a minor clerk in a huge new york insurance company, until he discovers a quick way to climb the corporate ladder. he lends out his apartment to the executives as a place to take their mistresses. although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve."
174,Barton Fink,a renowned new york playwright is enticed to california to write for the movies and discovers the hellish truth of hollywood.
176,Dave Chappelle's Block Party,"the american comedian/actor delivers a story about the alternative hip hop scene. a small town ohio mans moves to brooklyn, new york, to throw an unprecedented block party."
212,The Devil Wears Prada,"andy moves to new york to work in the fashion industry. her boss is extremely demanding, cruel and won't let her succeed if she doesn't fit into the high class elegant look of their magazine."
218,To Catch a Thief,"an ex-thief is accused of enacting a new crime spree, so to clear his name he sets off to catch the new thief, who’s imitating his signature style."
228,Capote,"a biopic of the writer, truman capote and his assignment for the new yorker to write the non-fiction book, 'in cold blood'."
247,The Day After Tomorrow,"after years of increases in the greenhouse effect,  havoc is wreaked globally in the form of catastrophic hurricanes, tornadoes, tidal waves, floods and the beginning of a new ice age. paleoclimatologist, jack hall tries to warn the world while also shepherding to safety his son, trapped in new york after the city is overwhelmed by the start of the new big freeze."
260,Stranger Than Paradise,"rootless hungarian émigré willie, his pal eddie, and visiting sixteen-year-old cousin eva always manage to make the least of any situation, whether aimlessly traversing the drab interiors and environs of new york city, cleveland, or an anonymous florida suburb."
282,Marnie,"marnie is a thief, a liar, and a cheat. when her new boss, mark rutland, catches on to her routine kleptomania, she finds herself being blackmailed."
310,Basquiat,"the brief life of jean michel basquiat, a world renowned new york street artist struggling with fame, drugs and his identity."
356,Men in Black,"after a police chase with an otherworldly being, a new york city cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on earth: the men in black. agent kay and new recruit agent jay find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on earth to assassinate two ambassadors from opposing galaxies."
381,When Harry Met Sally...,"during their travel from chicago to new york, harry and sally debate whether or not sex ruins a friendship between a man and a woman. eleven years later, and they're still no closer to finding the answer."
425,A Streetcar Named Desire,disturbed blanche dubois moves in with her sister in new orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
426,Annie Hall,new york comedian alvy singer falls in love with the ditsy annie hall.
461,Home Alone 2: Lost in New York,"instead of flying to florida with his folks, kevin ends up alone in new york, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. but when kevin runs into his old nemeses, the wet bandits, he's determined to foil their plans to rob a toy store on christmas eve."
478,Rosemary's Baby,"a young couple, rosemary and guy, moves into an infamous new york apartment building, known by frightening legends and mysterious events, with the purpose of starting a family."
493,JFK,follows the investigation into the assassination of president john f. kennedy led by new orleans district attorney jim garrison.
542,The Docks of New York,a blue-collar worker on new york's depressed waterfront finds his life changed after he saves a woman attempting suicide.
554,Meet Me in St. Louis,"in the year before the 1904 st. louis world's fair, the four smith daughters learn lessons of life and love, even as they prepare for a reluctant move to new york."
588,Madagascar,"alex the lion is the king of the urban jungle, the main attraction at new york's central park zoo. he and his best friends—marty the zebra, melman the giraffe and gloria the hippo—have spent their whole lives in blissful captivity before an admiring public and with regular meals provided for them. not content to leave well enough alone, marty lets his curiosity get the better of him and makes his escape—with the help of some prodigious penguins—to explore the world."
591,Mission: Impossible III,"retired from active duty to train new imf agents, ethan hunt is called back into action to confront sadistic arms dealer, owen davian. hunt must try to protect his girlfriend while working with his new team to complete the mission."
602,Sweet Smell of Success,"new york city newspaper writer j.j. hunsecker holds considerable sway over public opinion with his broadway column, but one thing that he can't control is his younger sister, susan, who is in a relationship with aspiring jazz guitarist steve dallas. hunsecker strongly disapproves of the romance and recruits publicist sidney falco to find a way to split the couple, no matter how ruthless the method."
