id,title,synopsis
2,Life in Loops (A Megacities RMX),"timo novotny labels his new project an experimental music documentary film, in a remix of the celebrated film megacities (1997), a visually refined essay on the hidden faces of several world ""megacities"" by leading austrian documentarist michael glawogger. novotny complements 30 % of material taken straight from the film (and re-edited) with 70 % as yet unseen footage in which he blends original shots unused by glawogger with his own sequences (shot by megacities cameraman wolfgang thaler) from tokyo. alongside the japanese metropolis, life in loops takes us right into the atmosphere of mexico city, new york, moscow and bombay. this electrifying combination of fascinating film images and an equally compelling soundtrack from sofa surfers sets us off on a stunning audiovisual adventure across the continents. the film also makes an original contribution to the discussion on new trends in documentary filmmaking. written by karlovy vary iff 2006"
12,The Endless Summer,"bruce brown's the endless summer is one of the first and most influential surf movies of all time. the film documents american surfers mike hynson and robert august as they travel the world during california’s winter (which, back in 1965 was off-season for surfing) in search of the perfect wave and ultimately, an endless summer."
48,Kunstgriff,kunstgriff is a brilliantly filmed black and white short film. andre f. nebe gives proof of his storytelling abilities in this 6 minute film.
61,The Big Lebowski,"jeffrey 'the dude' lebowski, a los angeles slacker who only wants to bowl and drink white russians, is mistaken for another jeffrey lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money."
70,Primary,primary is a documentary film about the primary elections between john f. kennedy and hubert humphrey in 1960. primary is the first documentary to use light equipment in order to follow their subjects in a more intimate filmmaking style. this unconventional way of filming created a new look for documentary films where the camera’s lens was right in the middle of what ever drama was occuring.
120,Hotel Rwanda,"inspired by true events, this film takes place in rwanda in the 1990s when more than a million tutsis were killed in a genocide that went mostly unnoticed by the rest of the world. hotel owner paul rusesabagina houses over a thousand refuges in his hotel in attempt to save their lives."
184,Swimming Pool,"in the middle of this amusing thriller is a relationship between two different types of females, one is a well know british author and the other is a sex-crazed french teen. the two get into some relationship trouble while living together in this film of psychological imagery and an erotic exploration of the female body."
219,Mala Noche,mala noche is the film debut from director gus van sant. the film portrays the unanswered love of an american man toward a young mexican man.
222,Lisbon Story,lisbon story is wim wenders' homage to lisbon and films. a sound engineer obtains a mysterious postcard from a friend who at the moment is filming a film in lisbon. he sets out across europe to find him and help him.
248,Cube 2: Hypercube,the sequel to the low budget first film cube. this time the prisoners find them selves in a more advanced cube environment that they must escape from before they are killed. a science fiction film where space and time have more than one path.
249,Cube Zero,cube zero is the third film in the trilogy yet this time instead of a film about people trapped in a deadly cube trying to get out we see it from the eyes of someone who is controlling the cube and the torture of the victims inside. when the nerd can’t stand to see a woman suffer he himself enters the cube to try and save her.
254,Romeo + Juliet,"in director baz luhrmann's contemporary take on william shakespeare's classic tragedy, the montagues and capulets have moved their ongoing feud to the sweltering suburb of verona beach, where romeo and juliet fall in love and secretly wed. though the film is visually modern, the bard's dialogue remains."
262,Bandyta,bastard depicts the distress of needy children and the love of a nurse and a hard boiled criminal. a film from polish director maciej dejczer and actor til schweiger’s first international film.
263,Pi,the debut film from darren aronofsky in which a mathematical genius maximilian cohen discovers a link in the connection between numbers and reality and thus believes he can predict the future.
277,Grizzly Man,"werner herzog's documentary film about the ""grizzly man"" timothy treadwell and what the thirteen summers in a national park in alaska were like in one man's attempt to protect the grizzly bears. the film is full of unique images and a look into the spirit of a man who sacrificed himself for nature."
302,Janine F.,the humorous portrait of a female artist. the film follows the career of 24-year-old janine f. who in 2002 caused a commotion from the rooftop of a berlin building.
328,The Man Who Knew Too Much,"a widescreen, technicolor remake by hitchcock of his 1934 film of the same title. a couple vacationing in morocco with their young son accidentally stumble upon an assassination plot. when the child is kidnapped to ensure their silence, they have to take matters into their own hands to save him."
348,Sunset Boulevard,a hack screenwriter writes a screenplay for a former silent film star who has faded into hollywood obscurity.
355,Out of Africa,"out of africa tells the story of the life of danish author karen blixen, who at the beginning of the 20th century moved to africa to build a new life for herself. the film is based on the autobiographical novel by karen blixen from 1937."
386,Dr. No,"in the film that launched the james bond saga, agent 007 battles mysterious dr. no, a scientific genius bent on destroying the u.s. space program. as the countdown to disaster begins, bond must go to jamaica, where he encounters beautiful honey ryder, to confront a megalomaniacal villain in his massive island headquarters."
387,Boyz n the Hood,boyz n the hood is the popular and successful film and social criticism from john singleton about the conditions in south central los angeles where teenagers are involved in gun fights and drug dealing on a daily basis.
400,Nanook of the North,"this pioneering documentary film depicts the lives of the indigenous inuit people of canada's northern quebec region. although the production contains some fictional elements, it vividly shows how its resourceful subjects survive in such a harsh climate, revealing how they construct their igloo homes and find food by hunting and fishing. the film also captures the beautiful, if unforgiving, frozen landscape of the great white north, far removed from conventional civilization."
404,Harry Potter and the Goblet of Fire,"when harry potter's name emerges from the goblet of fire, he becomes a competitor in a grueling battle for glory among three wizarding schools — the triwizard tournament. but since harry never submitted his name for the tournament, who did? now harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of he who must not be named. in this fourth film adaptation of j.k. rowling's harry potter series, everything changes as harry, ron and hermione leave childhood forever and take on challenges greater than anything they could have imagined."
405,Harry Potter and the Order of the Phoenix,"the rebellion begins! lord voldemort has returned, but the ministry of magic is doing everything it can to keep the wizarding world from knowing the truth – including appointing ministry official dolores umbridge as the new defence against the dark arts professor at hogwarts. when umbridge refuses to teach practical defensive magic, ron and hermione convince harry to secretly train a select group of students for the wizarding war that lies ahead. a terrifying showdown between good and evil awaits in this enthralling film version of the fifth novel in j.k. rowling’s harry potter series. prepare for battle!"
412,Contact,"contact is a science fiction film about an encounter with alien intelligence. based on the novel by carl sagan the film starred jodie foster as the one chosen scientist who must make some difficult decisions between her beliefs, the truth, and reality."
449,Murder Ahoy,"during an annual board of trustees meeting, one of the trustees dies. miss marple thinks he’s been poisoned after finding a chemical on him. she sets off to investigate at the ship where he had just come from. the fourth and final film from the miss marple series starring margaret rutherford as the quirky amateur detective."
479,The Omen,a diplomatic couple adopts the son of the devil without knowing it. a remake of the classic horror film of the same name from 1976.
486,Airplane!,"the persons and events in this film are fictitious - fortunately! a masterpiece of off-the-wall comedy, airplane! features robert hays as an ex-fighter pilot forced to take over the controls of an airliner when the flight crew succumbs to food poisoning; julie hagerty as his girlfriend/stewardess/co-pilot; and a cast of all-stars including robert stack, lloyd bridges, peter graves, leslie nielsen, kareem abdul-jabbar... and more. their hilarious high jinks spoof airplane disaster flicks, religious zealots, television commercials, romantic love... the list whirls by in rapid succession. and the story races from one moment of zany fun to the next."
488,Animal Farm,an animated film from 1999 based on the famous novel by george orwell. animals on a farm lead a revolution against the farmers to put their destiny in their own hands. however this revolution eats their own children and they cannot avoid corruption.
