id,title,synopsis
24,Twelve Monkeys,"in the year 2035, convict james cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. but when cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. there he meets psychiatrist dr. kathryn railly, and patient jeffrey goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the army of the 12 monkeys, thought to be responsible for unleashing the killer disease."
34,Mars Attacks!,"'we come in peace' is not what those green men from mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  this star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s."
37,Blade Runner,"in the smog-choked dystopian los angeles of 2019, blade runner rick deckard is called out of retirement to terminate a quartet of replicants who have escaped to earth seeking their creator for a way to extend their short life spans."
49,Armageddon,"when an asteroid threatens to collide with earth, nasa honcho dan truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. this leads him to renowned driller harry stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. among them is the cocksure a.j. who harry thinks isn't good enough for his daughter, until the mission proves otherwise."
68,The Lord of the Rings,the fellowship of the ring embark on a journey to destroy the one ring and end sauron's reign over middle-earth.
81,Star Trek: The Motion Picture,"when a destructive space entity is spotted approaching earth, admiral kirk resumes command of the starship enterprise in order to intercept, examine, and hopefully stop it."
83,Star Trek II: The Wrath of Khan,"it is the 23rd century. the federation starship u.s.s. enterprise™ is on routine training maneuvers and admiral james t. kirk (william shatner) seems resigned to the fact that this inspection may well be the last space mission of his career. but khan is back. aided by his exiled band of genetic supermen, khan (ricardo montalban) - brilliant renegade of 20th century earth - has raided space station regula one, stolen a top secret device called project genesis, wrested control of another federation starship and sets out in pursuit of the enterprise, determined to let nothing stand in the way of his mission: kill admiral kirk... even if it means universal armageddon."
85,Star Trek III: The Search for Spock,admiral kirk and his bridge crew risk their careers stealing the decommissioned enterprise to return to the restricted genesis planet to recover spock's body.
91,K-PAX,"prot is a patient at a mental hospital who claims to be from a far away planet. his psychiatrist tries to help him, only to begin to doubt his own explanations."
92,Star Trek IV: The Voyage Home,"it's the 23rd century, and a mysterious alien power is threatening earth by evaporating the oceans and destroying the atmosphere. in a frantic attempt to save mankind, kirk and his crew must time travel back to 1986 san francisco where they find a world of punk, pizza and exact-change buses that are as alien as anything they've ever encountered in the far reaches of the galaxy. a thrilling, action-packed star trek adventure!"
95,Star Trek V: The Final Frontier,"the crew of the federation starship enterprise is called to nimbus iii, the planet of intergalactic peace. they are to negotiate in a case of kidnapping only to find out that the kidnapper is a relative of spock. this man is possessed by his life long search for the planet shaka-ri which is supposed to be the source of all life. together they begin to search for this mysterious planet."
116,Star Trek: First Contact,"the borg, a relentless race of cyborgs, are on a direct course for earth. violating orders to stay away from the battle, captain picard and the crew of the newly-commissioned uss enterprise e pursue the borg back in time to prevent the invaders from changing federation history and assimilating the galaxy."
