id,title,synopsis
6,American Beauty,"lester burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend."
8,Dancer in the Dark,"selma, a czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. when life gets too difficult, selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings."
11,My Life Without Me,a fatally ill mother with only two months to live creates a list of things she wants to do before she dies without telling her family of her illness.
22,A History of Violence,an average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.
31,Billy Elliot,"set against the background of the 1984 miners' strike, 11-year-old billy elliot stumbles out of the boxing ring and onto the ballet floor. he faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes."
43,Dirty Dancing,"expecting the usual tedium that accompanies a summer in the catskills with her family, 17-year-old frances 'baby' houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love."
90,Back to the Future Part II,"marty and doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some mcfly family woes in the bud. but things go awry thanks to bully biff tannen and a pesky sports almanac. in a last-ditch attempt to set things straight, marty finds himself bound for 1955 and face to face with his teenage parents -- again."
112,Trouble in Paradise,"thief gaston monescu and pickpocket lily are partners in crime and love. working for perfume company executive mariette colet, the two crooks decide to combine their criminal talents to rob their employer. under the alias of monsieur laval, gaston uses his position as mariette's personal secretary to become closer to her. however, he takes things too far when he actually falls in love with mariette, and has to choose between her and lily."
119,Mean Streets,"a small-time hood must choose from among love, friendship and the chance to rise within the mob."
121,Paradise Found,"paradise found is a biography about the painter paul gauguin. focusing on his personal conflict between citizen life and his family life and the art scene in frane. in an incredible imagery montage gauguin manages to make a successful living in the south pacific, while being in opposition to france."
123,Arsenic and Old Lace,"mortimer brewster, a newspaper drama critic, playwright and author known for his diatribes against marriage, suddenly falls in love and gets married;  but when he makes a quick trip home to tell his two maiden aunts, he finds out his aunts' hobby - killing lonely old men and burying them in the cellar!"
129,East of Eden,"teenage cal trask longs for the affection that his father reserves for his brother aron, but his efforts meet only rejection. also attracted to aron's girlfriend, cal becomes so frustrated in his search for love and acceptance that he reveals a long-held secret about their mother to aron – knowledge that now tears the family apart."
139,Muriel's Wedding,"a young social outcast in australia steals money from her parents to finance a vacation where she hopes to find happiness, and perhaps love."
141,The Godfather,"spanning the years 1945 to 1955, a chronicle of the fictional italian-american corleone crime family. when organized crime family patriarch, vito corleone barely survives an attempt on his life, his youngest son, michael steps in to take care of the would-be killers, launching a campaign of bloody revenge."
148,About a Boy,"will freeman is a good-looking, smooth-talking bachelor whose primary goal in life is avoiding any kind of responsibility. but when he invents an imaginary son in order to meet attractive single moms, will gets a hilarious lesson about life from a bright, but hopelessly geeky 12-year-old named marcus. now, as will struggles to teach marcus the art of being cool, marcus teaches will that you're never too old to grow up."
177,A River Runs Through It,"a river runs through is a cinematographically stunning true story of norman maclean. the story follows norman and his brother paul through the experiences of life and growing up, and how their love of fly fishing keeps them together despite varying life circumstances in the untamed west of montana in the 1920's."
178,Desert Hearts,the story of straight-edge literature professor vivian who travels to reno to get away from a relationship breakup when she falls in love with an attractive and unconventional girl named cay.
197,Mystic River,the lives of three men who were childhood friends are shattered when one of them has a family tragedy.
215,Raising Arizona,the coen brothers tell the story of an absurd yet likable family with an unproductive couple as the focal point. the couple has gotten themselves into some trouble while kidnapping a baby and give hollywood one of the most memorable chase scenes to date.
217,Rain Man,selfish yuppie charlie babbitt's father left a fortune to his savant brother raymond and a pittance to charlie; they travel cross-country.
230,Garden State,"andrew returns to his hometown for the funeral of his mother, a journey that reconnects him with past friends. the trip coincides with his decision to stop taking his powerful antidepressants. a chance meeting with sam - a girl also suffering from various maladies - opens up the possibility of rekindling emotional attachments, confronting his psychologist father, and perhaps beginning a new life."
261,21 Grams,"this is the story of three gentle persons: paul rivers, an ailing mathematician lovelessly married to an english émigré; christina peck, an upper-middle-class suburban housewife, happily married and mother of two little girl; and jack jordan, an ex-convict who has found in his christian faith the strength to raise a family. they will be brought together by a terrible accident that will change their lives. by the final frame, none of them will be the same as they will learn harsh truths about love, faith, courage, desire and guilt, and how chance can change our worlds irretrievably—forever."
264,Bonnie and Clyde,"in the 1930s, bored waitress bonnie parker falls in love with an ex-con named clyde barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
284,Love Actually,"'love actually' follows the lives of eight very different couples dealing with their love lives, in various loosely and interrelated tales, all set during a frantic month before christmas in london, england."
292,The Blues Brothers,"jake blues, just released from prison, puts his old band back togther to save the catholic home where he and his brother elwood were raised."
294,Once Were Warriors,"a drama about a maori family living in auckland, new zealand. lee tamahori tells the story of beth heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband."
297,A Close Shave,"wallace falls in love with wool-shop owner wendolene, not suspecting that she (or rather, her dog) is at the head of a fiendish sheep-rustling plot. gromit is set up and jailed, but his new-found sheepish friend is determined to give wallace a helping hand in finding out the real truth."
309,The Horse Whisperer,"based on the novel by the same name from nicholas evans, the talented robert redford presents this meditative family drama set in the country side. redford not only directs but also stars in the roll of a cowboy with a magical talent for healing."
333,Jaws: The Revenge,"after another deadly shark attack, ellen brody decides she has had enough of new england's amity island and moves to the caribbean to join her son, michael, and his family. but a great white shark has followed her there, hungry for more lives."
346,The Grapes of Wrath,"tom joad returns to his home after a jail sentence to find his family kicked out of their farm due to foreclosure. he catches up with them on his uncle’s farm, and joins them the next day as they head for california and a new life... hopefully."
372,Interview with the Vampire,"a vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter."
391,"Paris, Texas","a man wanders out of the desert not knowing who he is. his brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier."
397,Ben-Hur,"in 25 ad,judah ben-hur, a jew in ancient judea, opposes the occupying roman empire.  falsely accused by a roman childhood friend-turned-overlord of trying to kill the roman governor, he is put into slavery and his mother and sister are taken away as prisoners.  three years later and freed by a grateful roman galley commander whom he has rescued from drowning, he becomes an expert charioteer for rome, all the while plotting to return to judea, find and rescue his family, and avenge himself on his former friend.  all the while, the form and work of jesus move in the background of his life..."
420,Manhattan,manhattan explores how the life of a middle-aged television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.
434,Four Weddings and a Funeral,"over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love."
440,Shaun of the Dead,"shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. this gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary londoners."
458,GoodFellas,"the true story of henry hill, a half-irish, half-sicilian brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a mafia family under the guidance of jimmy conway."
460,Home Alone,"eight-year-old kevin mccallister makes the most of the situation after his family unwittingly leaves him behind when they go on christmas vacation. but when a pair of bungling burglars set their sights on kevin's house, the plucky kid stands ready to defend his territory. by planting booby traps galore, adorably mischievous kevin stands his ground as his frantic mother attempts to race home before christmas day."
462,Little Miss Sunshine,"a family loaded with quirky, colorful characters piles into an old van and road trips to california for little olive to compete in a beauty pageant."
465,Almost Famous,"in 1973, 15-year-old william miller's unabashed love of music and aspiration to become a rock journalist lands him an assignment from rolling stone magazine to interview and tour with the up-and-coming band stillwater."
482,Shrek 2,"shrek, fiona and donkey set off to far, far away to meet fiona's mother and father. but not everyone is happy. shrek and the king find it hard to get along, and there's tension in the marriage. the fairy godmother discovers that shrek has married fiona instead of her son prince charming and sets about destroying their marriage."
485,Aladdin,"princess jasmine grows tired of being forced to remain in the palace, so she sneaks out into the marketplace, in disguise, where she meets street-urchin aladdin.  the couple falls in love, although jasmine may only marry a prince.  after being thrown in jail, aladdin becomes embroiled in a plot to find a mysterious lamp, with which the evil jafar hopes to rule the land."
515,Brief Encounter,"returning home from a shopping trip to a nearby town, bored suburban housewife laura jesson is thrown by happenstance into an acquaintance with virtuous doctor alec harvey. their casual friendship soon develops during their weekly visits into something more emotionally fulfilling than either expected, and they must wrestle with the potential havoc their deepening relationship would have on their lives and the lives of those they love."
544,The Best Years of Our Lives,"it's the hope that sustains the spirit of every gi: the dream of the day when he will finally return home. for three wwii veterans, the day has arrived. but for each man, the dream is about to become a nightmare. captain fred derry is returning to a loveless marriage; sergeant al stephenson is a stranger to a family that's grown up without him; and young sailor homer parrish is tormented by the loss of his hands. can these three men find the courage to rebuild their world? or are the best years of their lives a thing of the past?"
545,The Flintstones,modern stone age family the flintstones hit the big screen in this live-action version of the classic cartoon. fred helps barney adopt a child. barney sees an opportunity to repay him when slate mining tests its employees to find a new executive. but no good deed goes unpunished.
546,The Flintstones in Viva Rock Vegas,"the flintstones are at it again. the flintstones and the rubbles head for rock vegas with fred hoping to court the lovely wilma. nothing will stand in the way of love, except for the conniving chip rockefeller who is the playboy born in baysville but who has made it in the cutthroat town of rock vegas. will fred win wilma's love?"
549,Broken Blossoms,the love story of an abused english girl and a chinese buddhist in a time when london was a brutal and harsh place to live.
557,The Thomas Crown Affair,"young businessman, thomas crown is bored and decides to plan a robbery and assigns a professional agent with the right information to the job. however, crown is soon betrayed yet cannot blow his cover because he’s in love."
564,Cinderella Man,"the true story of boxer jim braddock who, in the 1920’s following his retirement, makes a surprise comeback in order to get him and his family out of a socially poor state."
594,The Gold Rush,"a lone prospector ventures into alaska looking for gold. he soon gets mixed up with some burly characters, falls in love with the beautiful georgia, and tries to win her heart with his singular charm."
614,The Mortal Storm,"the roth family leads a quiet life in a small village in the german alps during the early 1930s. when the nazis come to power, the family is divided and martin brietner, a family friend is caught up in the turmoil."
623,Heavenly Creatures,"wealthy and precocious teenager juliet transfers from england to new zealand with her family, and soon befriends the quiet, brooding pauline through their shared love of fantasy and literature. when their parents begin to suspect that their increasingly intense and obsessive bond is becoming unhealthy, the girls hatch a dark plan for those who threaten to keep them apart."
643,The Queen,"the queen is an intimate behind the scenes glimpse at the interaction between hm elizabeth ii and prime minister tony blair during their struggle, following the death of diana, to reach a compromise between what was a private tragedy for the royal family and the public's demand for an overt display of mourning."
647,The Good Shepherd,"edward wilson, the only witness to his father's suicide and member of the skull and bones society while a student at yale, is a morally upright young man who values honor and discretion, qualities that help him to be recruited for a career in the newly founded oss. his dedication to his work does not come without a price though, leading him to sacrifice his ideals and eventually his family."
650,Ghost Rider,"in order to save his dying father, young stunt cyclist johnny blaze sells his soul to mephistopheles and sadly parts from the pure-hearted roxanne simpson, the love of his life. years later, johnny's path crosses again with roxanne, now a go-getting reporter, and also with mephistopheles, who offers to release johnny's soul if johnny becomes the fabled, fiery 'ghost rider'."
654,Because I Said So,"in an effort to prevent family history from repeating itself, meddlesome mom daphne wilder attempts to set up her youngest daughter, milly, with mr. right. meanwhile, her other daughters try to keep their mom's good intentions under control."
659,Meet the Robinsons,"lewis, a brilliant young inventor, is keen on creating a time machine to find his mother, who abandoned him in an orphanage. things take a turn when he meets wilbur robinson and his family."
660,Mr. Bean's Holiday,"mr. bean wins a trip to cannes where he unwittingly separates a young boy from his father and must help the two reunite. on the way he discovers france, bicycling and true love, among other things."
664,The Dreamers,a young american studying in paris in 1968 strikes up a friendship with a french brother and sister.
684,Sweet Sixteen,"determined to have a normal family life once his mother gets out of prison, a scottish teenager from a tough background sets out to raise the money for a home."
696,Ae Fond Kiss...,a young man upsets his punjabi family when he falls in love with an irish schoolteacher.
703,M. Butterfly,"in 1960s china, french diplomat rene gallimard falls in love with an opera singer, song liling - but song is not at all who gallimard thinks."
718,Junebug,"on the way to meet with an independent artist in the south, newlywed art dealer madeleine is convinced by her husband, george, that they should stop to meet his family in north carolina. madeleine's affluent lifestyle clashes with the family, but she befriends george's wide-eyed and pregnant sister-in-law, ashley, who is nearing her due date. through the family, madeleine gains greater insight into george's character."
751,Parenthood,"the story of the buckman family and friends, attempting to bring up their children. they suffer/enjoy all the events that occur: estranged relatives, the 'black sheep' of the family, the eccentrics, the skeletons in the closet, and the rebellious teenagers."
764,Apocalypto,"set in the mayan civilization, when a man's idyllic presence is brutally disrupted by a violent invading force, he is taken on a perilous journey to a world ruled by fear and oppression where a harrowing end awaits him. through a twist of fate and spurred by the power of his love for his woman and his family he will make a desperate break to return home and to ultimately save his way of life."
780,Cape Fear,"sam bowden is a small-town corporate attorney. max cady is a tattooed, cigar-smoking, bible-quoting, psychotic rapist. what do they have in common? fourteen years ago, sam was a public defender assigned to max cady's rape trial, and he made a serious error: he hid a document from his illiterate client that could have gotten him acquitted. now, the cagey cady has been released, and he intends to teach sam bowden and his family a thing or two about loss."
796,Free Willy,"when maladjusted orphan jesse vandalizes a theme park, he is placed with foster parents and must work at the park to make amends. there he meets willy, a young orca whale who has been separated from his family. sensing kinship, they form a bond and, with the help of kindly whale trainer rae lindley, develop a routine of tricks. however, greedy park owner dial soon catches wind of the duo and makes plans to profit from them."
813,Last Days,"the life and struggles of a notorious rock musician seeping into a pit of loneliness whose everyday life involves friends and family seeking financial aid and favors, inspired by rock music legend kurt cobain and his final hours."
830,The Devil's Rejects,"the sequel to house of 1000 corpses – the firefly family are ambushed at their isolated home by sheriff wydell and a squad of armed men guns blazing – yet only otis and his sister, baby, manage to escape the barrage of bullets unharmed. hiding out in a backwater motel, the wanted siblings wait to rendezvous with their errant father, captain spaulding, killing whoever happens to stand in their way."
832,Con Air,"when the government puts all its rotten criminal eggs in one airborne basket, it's asking for trouble. before you can say, ""pass the barf bag,"" the crooks control the plane, led by creepy cyrus ""the virus"" grissom. watching his every move is the just-released cameron poe, who'd rather reunite with his family."
837,Giant,sprawling epic covering the life of a texas cattle rancher and his family and associates.
843,Captain Corelli's Mandolin,"when a greek fisherman leaves to fight with the greek army during wwii, his fiancee falls in love with the local italian commander. the film is based on a novel about an italian soldier's experiences during the italian occupation of the greek island of cephalonia (kefalonia), but hollywood made it into a pure love story by removing much of the ""unpleasant"" stuff."
873,Max Dugan Returns,an english teacher and struggling single mother has her life disrupted when the father who abandoned her as a child comes back into her life.
