id,title,synopsis
578,Lethal Weapon,"veteran buttoned-down lapd detective roger murtaugh is partnered with unhinged cop martin riggs, who -- distraught after his wife's death -- has a death wish and takes unnecessary risks with criminals at every turn. the odd couple embark on their first homicide investigation as partners, involving a young woman known to murtaugh with ties to a drug and prostitution ring."
587,Kindergarten Cop,"hard-edged cop john kimble gets more than he bargained for when he goes undercover as a kindergarten teacher to get the goods on a brutal drug lord while at the same time protecting the man's young son. pitted against a class of boisterous moppets whose antics try his patience and test his mettle, kimble may have met his match … in more ways than one."
635,The Wind That Shakes the Barley,"in 1920s ireland young doctor damien o'donovan prepares to depart for a new job in a london hospital. as he says his goodbyes at a friend's farm, british black and tans arrive, and a young man is killed. damien joins his brother teddy in the irish republican army, but political events are soon set in motion that tear the brothers apart."
638,Dreamgirls,three young women dream of becoming pop stars—and get their wish when they're chosen to be backup singers for the legendary james 'thunder' early.
644,The Talented Mr. Ripley,"tom ripley is a calculating young man who believes it's better to be a fake somebody than a real nobody. opportunity knocks in the form of a wealthy u.s. shipbuilder who hires tom to travel to italy to bring back his playboy son, dickie. ripley worms his way into the idyllic lives of dickie and his girlfriend, plunging into a daring scheme of duplicity, lies and murder."
647,The Good Shepherd,"edward wilson, the only witness to his father's suicide and member of the skull and bones society while a student at yale, is a morally upright young man who values honor and discretion, qualities that help him to be recruited for a career in the newly founded oss. his dedication to his work does not come without a price though, leading him to sacrifice his ideals and eventually his family."
660,Mr. Bean's Holiday,"mr. bean wins a trip to cannes where he unwittingly separates a young boy from his father and must help the two reunite. on the way he discovers france, bicycling and true love, among other things."
664,The Dreamers,a young american studying in paris in 1968 strikes up a friendship with a french brother and sister.
686,Shortbus,"a group of new yorkers caught up in their romantic/sexual milieu converge at shortbus, an underground brooklyn salon infamous for its blend of art, music, politics, and carnality, and loosely inspired by various underground nyc gatherings that took place in the early 2000s. here, gay couple jamie (pj deboy) and james (paul dawson) meet ceth (jay brannan), a young ex-model and aspiring singer."
716,The Contract,"attempting to recover from a recent family trauma by escaping into the woods for a peaceful hiking trip, an ex-lawman and his young son stumble across a dangerous contract killer."
719,The Wisdom of Crocodiles,a vampire in london is searching for the ideal woman to 'redeem' him.
722,"Clean, Shaven","peter winter is a young schizophrenic who is desperately trying to get his daughter back from her adoptive family. he attempts to function in a world that, for him, is filled with strange voices, electrical noise, disconcerting images, and jarringly sudden emotional shifts. during his quest, he runs afoul of the law and an ongoing murder investigation."
738,The Last King of Scotland,"young scottish doctor, nicholas garrigan decides it's time for an adventure after he finishes his formal education, so he decides to try his luck in uganda, and arrives during the downfall of president obote. general idi amin comes to power and asks garrigan to become his personal doctor."
757,Live Free or Die Hard,"john mcclane is back and badder than ever, and this time he's working for homeland security. he calls on the services of a young hacker in his bid to stop a ring of internet terrorists intent on taking control of america's computer infrastructure."
795,Fried Green Tomatoes,"amidst her own personality crisis, southern housewife evelyn couch meets ninny, an outgoing old woman who tells her the story of idgie threadgoode and ruth jamison, two young women who experienced hardships and love in whistle stop, alabama in the 1920s."
804,The Vanishing,"a young woman mysteriously disappears, sending her boyfriend jeff on a years-long quest to find her. not even a new love can keep him from his obsessive search. all the while, the calculating psychopath who kidnapped his girlfriend stalks jeff, ultimately taking him through the exact same steps that led to the crime. in order to find out what happened, jeff must put his own life in the hands of this devious stranger."
909,Transformers,"young teenager, sam witwicky becomes involved in the ancient struggle between two extraterrestrial factions of transforming robots – the heroic autobots and the evil decepticons. sam holds the clue to unimaginable power and the decepticons will stop at nothing to retrieve it."
916,Rise: Blood Hunter,a young reporter (lucy liu) wakes up and realises that she is not alive anymore. she goes on a personal vendetta for a group a cultists that are responsible for her death.
917,Beyond Rangoon,"patricia arquette stars as american widow laura bowman, a young doctor who's unwittingly drawn into political turmoil while vacationing in burma in the late 1980s, in this fictionalized drama based on actual events. bowman initially left san francisco with her sister (frances mcdormand) in an attempt to escape painful memories of her husband and son's violent deaths. but her fight to escape to thailand could prove just as harrowing."
933,Star Wars: Episode I - The Phantom Menace,"anakin skywalker, a young slave strong with the force, is discovered on tatooine. meanwhile, the evil sith have returned, enacting their plot for revenge against the jedi."
956,River of No Return,an itinerant farmer and his young son help a heart-of-gold saloon singer search for her estranged husband
962,Bunny Lake Is Missing,"a woman reports that her young daughter is missing, but there seems to be no evidence that she ever existed."
