id,title,synopsis
9,The Dark,adèle and her daughter sarah are traveling on the welsh coastline to see her husband james when sarah disappears. a different but similar looking girl appears who says she died in a past time. adèle tries to discover what happened to her daughter as she is tormented by celtic mythology from the past.
13,Pirates of the Caribbean: The Curse of the Black Pearl,"jack sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging port royal. when the governor's daughter is kidnapped, sparrow decides to help the girl's love save her."
33,War of the Worlds,"ray ferrier is a divorced dockworker and less-than-perfect father. soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down."
36,Memento,"leonard shelby is tracking down the man who raped and murdered his wife. the difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. although he can recall details of life before his accident, leonard cannot remember what happened fifteen minutes ago, where he's going, or why."
82,Lost in Translation,"two lost souls visiting tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a tv commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in america."
86,Ocean's Eleven,"less than 24 hours into his parole, charismatic thief danny ocean is already rolling out his next plan: in one night, danny's hand-picked crew of specialists will attempt to steal more than $150 million from three las vegas casinos. but to score the cash, danny risks his chances of reconciling with ex-wife, tess."
112,Trouble in Paradise,"thief gaston monescu and pickpocket lily are partners in crime and love. working for perfume company executive mariette colet, the two crooks decide to combine their criminal talents to rob their employer. under the alias of monsieur laval, gaston uses his position as mariette's personal secretary to become closer to her. however, he takes things too far when he actually falls in love with mariette, and has to choose between her and lily."
119,Mean Streets,"a small-time hood must choose from among love, friendship and the chance to rise within the mob."
123,Arsenic and Old Lace,"mortimer brewster, a newspaper drama critic, playwright and author known for his diatribes against marriage, suddenly falls in love and gets married;  but when he makes a quick trip home to tell his two maiden aunts, he finds out his aunts' hobby - killing lonely old men and burying them in the cellar!"
134,The Bride of Frankenstein,"bride of frankenstein begins where james whale's frankenstein from 1931 ended. dr. frankenstein has not been killed as previously portrayed and now he wants to get away from the mad experiments. yet when his wife is kidnapped by his creation, frankenstein agrees to help him create a new monster, this time a woman."
149,The Killing,"career criminal johnny clay recruits a sharpshooter, a crooked police officer, a bartender and a betting teller named george, among others, for one last job before he goes straight and gets married. but when george tells his restless wife about the scheme to steal millions from the racetrack where he works, she hatches a plot of her own."
152,Ghost,"sam wheat is a banker, molly jensen is an artist, and the two are madly in love. however, when sam is murdered by his friend and corrupt business partner carl bruner over a shady business deal, he is left to roam the earth as a powerless spirit. when he learns of carl's betrayal, sam must seek the help of psychic oda mae brown to set things right and protect molly from carl and his goons."
158,Cat on a Hot Tin Roof,"an alcoholic ex-football player drinks his days away, having failed to come to terms with his sexuality and his real feelings for his football buddy who died after an ambiguous accident. his wife is crucified by her desperation to make him desire her: but he resists the affections of his wife. his reunion with his father—who is dying of cancer—jogs a host of memories and revelations for both father and son."
178,Desert Hearts,the story of straight-edge literature professor vivian who travels to reno to get away from a relationship breakup when she falls in love with an attractive and unconventional girl named cay.
210,Eyes Wide Shut,"after dr. bill harford's wife, alice, admits to having sexual fantasies about a man she met, bill becomes obsessed with having a sexual encounter. he discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head."
216,Miller's Crossing,"set in 1929, a political boss and his advisor have a parting of the ways when they both fall for the same woman."
227,French Kiss,"after her fiancee admits to infidelity while on a business trip in france, a woman attempts to get her lover back and marry him by traveling to paris despite her crippling fear of flying.  on the way she unwittingly smuggles something of value that has a charming crook chasing her across france as she chases after her future husband."
261,21 Grams,"this is the story of three gentle persons: paul rivers, an ailing mathematician lovelessly married to an english émigré; christina peck, an upper-middle-class suburban housewife, happily married and mother of two little girl; and jack jordan, an ex-convict who has found in his christian faith the strength to raise a family. they will be brought together by a terrible accident that will change their lives. by the final frame, none of them will be the same as they will learn harsh truths about love, faith, courage, desire and guilt, and how chance can change our worlds irretrievably—forever."
264,Bonnie and Clyde,"in the 1930s, bored waitress bonnie parker falls in love with an ex-con named clyde barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
265,Drugstore Cowboy,"portland, oregon, 1971. bob hughes is the charismatic leader of a peculiar quartet, formed by his wife, dianne, and another couple, rick and nadine, who skillfully steal from drugstores and hospital medicine cabinets in order to appease their insatiable need for drugs. but neither fun nor luck last forever."
284,Love Actually,"'love actually' follows the lives of eight very different couples dealing with their love lives, in various loosely and interrelated tales, all set during a frantic month before christmas in london, england."
285,Notting Hill,"william thacker is a london bookstore owner whose humdrum existence is thrown into romantic turmoil when famous american actress anna scott appears in his shop. a chance encounter over spilled orange juice leads to a kiss that blossoms into a full-blown affair. as the average bloke and glamorous movie star draw closer and closer together, they struggle to reconcile their radically different lifestyles in the name of love."
289,Dial M for Murder,"an ex-tennis pro carries out a plot to have his wife murdered after discovering she is having an affair, and assumes she will soon leave him for the other man anyway. when things go wrong, he improvises a new plan—to frame her for murder instead."
291,Casino,"in early-1970s las vegas, low-level mobster sam ""ace"" rothstein gets tapped by his bosses to head the tangiers casino. at first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer nicky santoro, his ex-hustler wife ginger, her con-artist ex lester diamond and a handful of corrupt politicians put sam in ever-increasing danger."
297,A Close Shave,"wallace falls in love with wool-shop owner wendolene, not suspecting that she (or rather, her dog) is at the head of a fiendish sheep-rustling plot. gromit is set up and jailed, but his new-found sheepish friend is determined to give wallace a helping hand in finding out the real truth."
308,Transamerica,bree is about to get a sex reassignment surgery that will finally allow her to actually be what she’s already been in her mind for a long time: a transitioned woman. yet before this happens she suddenly runs into her son who ends up coming for the trip across the united states.
318,Secret Beyond the Door,fritz lang’s psycho thriller tells the story of a woman who marries a stranger with a deadly hobby and through their love he attempts to fight off his obsessive-compulsive actions.
322,The Mummy,dashing legionnaire rick o'connell stumbles upon the hidden ruins of hamunaptra while in the midst of a battle to claim the area in 1920s egypt. it has been over three thousand years since former high priest imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.
364,The Bodyguard,"a former secret service agent grudgingly takes an assignment to protect a pop idol who's threatened by a crazed fan. at first, the safety-obsessed bodyguard and the self-indulgent diva totally clash. but before long, all that tension sparks fireworks of another sort, and the love-averse tough guy is torn between duty and romance."
375,Sunrise: A Song of Two Humans,"a married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife."
385,A.I. Artificial Intelligence,"david, a robotic boy—the first of his kind programmed to love—is adopted as a test case by a cybertronics employee and his wife. though he gradually becomes their child, a series of unexpected circumstances make this life impossible for david. without final acceptance by humans or machines, david embarks on a journey to discover where he truly belongs, uncovering a world in which the line between robot and machine is both vast and profoundly thin."
389,Troy,"in year 1250 b.c. during the late bronze age, two emerging nations begin to clash. paris, the trojan prince, convinces helen, queen of sparta, to leave her husband menelaus, and sail with him back to troy. after menelaus finds out that his wife was taken by the trojans, he asks his brother agamemnom to help him get her back. agamemnon sees this as an opportunity for power. so they set off with 1,000 ships holding 50,000 greeks to troy. with the help of achilles, the greeks are able to fight the never before defeated trojans."
417,Meet the Fockers,"hard-to-crack ex-cia man, jack byrnes and his wife, dina head for the warmer climes of florida to meet son-in-law-to-be, greg focker's parents. unlike their happily matched offspring, the future in-laws find themselves in a situation of opposites that definitely do not attract."
418,The Shining,"jack torrance accepts a caretaker job at the overlook hotel, where he, along with his wife wendy and their son danny, must live isolated from the rest of the world for the winter. but they aren't prepared for the madness that lurks within."
420,Manhattan,manhattan explores how the life of a middle-aged television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.
428,All About Eve,"from the moment she glimpses her idol at the stage door, eve harrington is determined to take the reins of power away from the great actress margo channing. eve maneuvers her way into margo's broadway role, becomes a sensation and even causes turmoil in the lives of margo's director boyfriend, her playwright and his wife. only the cynical drama critic sees through eve, admiring her audacity and perfect pattern of deceit."
434,Four Weddings and a Funeral,"over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love."
444,Faces,"middle-aged suburban husband richard abruptly tells his wife, maria, that he wants a divorce. as richard takes up with a younger woman, maria enjoys a night on the town with her friends and meets a younger man. as the couple and those around them confront a seemingly futile search for what they've lost -- love, excitement, passion -- this classic american independent film explores themes of aging and alienation."
472,The Omen,"immediately after their miscarriage, the us diplomat robert thorn adopts the newborn damien without the knowledge of his wife. yet what he doesn’t know is that their new son is the son of the devil."
476,Lolita,"humbert humbert is a middle-aged british novelist who is both appalled by and attracted to the vulgarity of american culture. when he comes to stay at the boarding house run by charlotte haze, he soon becomes obsessed with lolita, the woman's teenaged daughter."
