id,title,synopsis
11,My Life Without Me,a fatally ill mother with only two months to live creates a list of things she wants to do before she dies without telling her family of her illness.
22,A History of Violence,an average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.
56,Back to the Future,"eighties teenager marty mcfly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend doc brown - return to 1985."
90,Back to the Future Part II,"marty and doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some mcfly family woes in the bud. but things go awry thanks to bully biff tannen and a pesky sports almanac. in a last-ditch attempt to set things straight, marty finds himself bound for 1955 and face to face with his teenage parents -- again."
129,East of Eden,"teenage cal trask longs for the affection that his father reserves for his brother aron, but his efforts meet only rejection. also attracted to aron's girlfriend, cal becomes so frustrated in his search for love and acceptance that he reveals a long-held secret about their mother to aron – knowledge that now tears the family apart."
141,The Godfather,"spanning the years 1945 to 1955, a chronicle of the fictional italian-american corleone crime family. when organized crime family patriarch, vito corleone barely survives an attempt on his life, his youngest son, michael steps in to take care of the would-be killers, launching a campaign of bloody revenge."
197,Mystic River,the lives of three men who were childhood friends are shattered when one of them has a family tragedy.
215,Raising Arizona,the coen brothers tell the story of an absurd yet likable family with an unproductive couple as the focal point. the couple has gotten themselves into some trouble while kidnapping a baby and give hollywood one of the most memorable chase scenes to date.
217,Rain Man,selfish yuppie charlie babbitt's father left a fortune to his savant brother raymond and a pittance to charlie; they travel cross-country.
246,Mary Poppins,a magical nanny employs music and adventure to help two neglected children become closer to their father.
294,Once Were Warriors,"a drama about a maori family living in auckland, new zealand. lee tamahori tells the story of beth heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband."
309,The Horse Whisperer,"based on the novel by the same name from nicholas evans, the talented robert redford presents this meditative family drama set in the country side. redford not only directs but also stars in the roll of a cowboy with a magical talent for healing."
333,Jaws: The Revenge,"after another deadly shark attack, ellen brody decides she has had enough of new england's amity island and moves to the caribbean to join her son, michael, and his family. but a great white shark has followed her there, hungry for more lives."
337,"Monsters, Inc.","james sullivan and mike wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. when a child accidentally enters their world, james and mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world."
345,To Kill a Mockingbird,"scout finch, 6, and her older brother jem live in sleepy maycomb, alabama, spending much of their time with their friend dill and spying on their reclusive and mysterious neighbor, boo radley. when atticus, their widowed father and a respected lawyer, defends a black man named tom robinson against fabricated rape charges, the trial and tangent events expose the children to evils of racism and stereotyping."
358,Poltergeist,"steve freeling lives with his wife, diane, and their three children, dana, robbie, and carol anne, in southern california where he sells houses for the company that built the neighborhood. it starts with just a few odd occurrences, such as broken dishes and furniture moving around by itself. however, when he realizes that something truly evil haunts his home, steve calls in a team of parapsychologists led by dr. lesh to help before it's too late."
376,Stalag 17,"it's a dreary christmas 1944 for the american pows in stalag 17 and the men in barracks 4, all sergeants, have to deal with a grave problem—there seems to be a security leak."
419,Short Cuts,"many loosely connected characters cross paths in this film, based on the stories of raymond carver. waitress doreen piggot accidentally runs into a boy with her car. soon after walking away, the child lapses into a coma. while at the hospital, the boy's grandfather tells his son, howard, about his past affairs. meanwhile, a baker starts harassing the family when they fail to pick up the boy's birthday cake."
424,Our Hospitality,"a man returns to his appalachian homestead. on the trip, he falls for a young woman. the only problem is her family has vowed to kill every member of his family."
458,GoodFellas,"the true story of henry hill, a half-irish, half-sicilian brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a mafia family under the guidance of jimmy conway."
